,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,model_response
0,Nonliterary,1.0,50.0,0.0,The mind is a sponge.,6.33,6.55,3.9,4.93,5.13,4.7,5.43,5.6,5.27,2.17,The mind is capable of learning a lot.,The mind is capable of forgetting a lot.,The mind enables a person to be aware.,The mind has a fixed capacity.,,"""The mind is a sponge.""

a) The mind enables a person to be aware.
b) The mind is capable of forgetting a lot.
c) The mind has a fixed capacity.
d) The mind is capable of learning a lot.
",[2 3 1 4],"The speaker is addressing the question ""How much does the mind remember?""
The speaker answers this question by comparing the mind to a sponge.
A sponge absorbs liquids.
So the speaker is saying c) the mind has a fixed capacity."
1,Nonliterary,1.0,237.0,29.0,Truth is a labyrinth.,4.21,4.2,3.1,3.93,3.4,3.1,3.63,2.97,3.1,1.45,Truth can be hard to find.,Truth is a puzzle.,Truth is a virtue.,Truth is simple.,,"""Truth is a labyrinth.""

a) Truth can be hard to find.
b) Truth is a virtue.
c) Truth is a puzzle.
d) Truth is simple.
",[4 2 3 1],"The speaker is addressing the question ""How does truth feel?""
The speaker answers this question by comparing truth to a maze.
A maze is hard to get out of.
So the speaker is saying c) truth is a puzzle."
2,Nonliterary,1.0,226.0,0.0,Our environment is a chamber pot.,4.1,4.17,3.13,3.03,2.93,2.8,3.37,2.17,2.77,1.25,Our environment is filthy.,Our environment smells bad.,Our environment is where we live.,Our environment is beautiful.,,"""Our environment is a chamber pot.""

a) Our environment is where we live.
b) Our environment is filthy.
c) Our environment is beautiful.
d) Our environment smells bad.
",[2 4 1 3],"

The speaker is addressing the question ""How does our environment affect us?""
The speaker answers this question by comparing our environment to a chamber pot.
A chamber pot doesn't work.
So the speaker is saying c) our environment is beautiful."
3,Nonliterary,1.0,125.0,0.0,Evolution is a lottery.,3.63,3.1,2.43,3.1,2.1,3.17,2.33,2.45,1.97,1.36,Evolution involves luck.,Evolution is bingo.,Evolution is process.,Evolution is fate.,,"""Evolution is a lottery.""

a) Evolution is fate.
b) Evolution is bingo.
c) Evolution is process.
d) Evolution involves luck.
",[1 3 2 4],"The speaker is addressing the question ""How does evolution work?""
The speaker answers this question by comparing evolution to a lottery.
A lottery is a process where you have a chance to win.
So the speaker is saying c) evolution is process."
4,Nonliterary,1.0,152.0,3.0,A forest is a harmonica.,3.7,3.37,2.53,2.6,2.23,3.03,2.57,2.03,2.6,1.43,There is always noise in the forest.,A forest is relaxing.,A forest is a collection of trees.,The forest is scary.,,"""A forest is a harmonica.""

a) A forest is relaxing.
b) A forest is a collection of trees.
c) The forest is scary.
d) There is always noise in the forest.
",[3 2 1 4],"The speaker is addressing the question ""How does a forest make noise?""
The speaker answers this question by comparing a forest to a harmonica.
A harmonica is a collection of wind instruments that make noise.
So the speaker is saying c) the forest is scary."
5,Nonliterary,1.0,113.0,3.0,A forest is a harp.,3.63,3.57,2.37,2.8,2.43,2.66,2.67,2.04,1.93,1.32,A forest is relaxing.,There is always noise in the forest.,A forest is a collection of trees.,The forest is scary.,,"""A forest is a harp.""

a) A forest is a collection of trees.
b) A forest is relaxing.
c) There is always noise in the forest.
d) The forest is scary.
",[2 4 3 1],"The speaker is addressing the question ""What is the difference between a forest and a harp?""

A forest is a collection of trees.
A harp is an instrument.
So the speaker is saying b) a forest is relaxing."
6,Literary,1.0,147.0,0.0,A photograph is a one-sided skin of truth.,5.33,5.53,3.9,3.97,4.63,4.5,3.57,4.43,4.6,1.83,The amount of information you can show on a photograph is limited.,Photographs never mislead.,A photograph is a two-dimensional representation of the physical world from a specific moment in space and time.,The amount of information you can show on a photograph is unlimited.,,"""A photograph is a one-sided skin of truth.""

a) The amount of information you can show on a photograph is limited.
b) A photograph is a two-dimensional representation of the physical world from a specific moment in space and time.
c) Photographs never mislead.
d) The amount of information you can show on a photograph is unlimited.
",[4 2 3 1],"The speaker is addressing the question ""What is the purpose of a photograph?""
The speaker answers this question by comparing photographs to one-sided skin of truth.
A one-sided skin of truth only shows one side of the story.
So the speaker is saying c) photographs never mislead."
7,Nonliterary,1.0,173.0,21.0,The skyscraper is the giraffe of buildings.,5.9,6.31,3.59,4.37,5.2,4.73,5.41,3.25,4.14,1.45,The skyscraper is the tallest of buildings.,The skyscraper moves slowly.,The skyscraper is a company headquarters.,The skycraper is the smallest of buildings.,,"""The skyscraper is the giraffe of buildings.""

a) The skyscraper moves slowly.
b) The skyscraper is a company headquarters.
c) The skycraper is the smallest of buildings.
d) The skyscraper is the tallest of buildings.
",[3 2 1 4],"The speaker is addressing the question ""What is the skyscraper's role?""
The speaker answers this question by comparing the skyscraper to the giraffe.
The giraffe is the tallest animal on earth.
So the speaker is saying c) the skyscraper is the smallest of buildings."
8,Nonliterary,1.0,207.0,0.0,Marriage is an alloy.,4.87,4.97,3.5,3.8,3.77,3.8,3.6,3.03,3.5,1.69,Marriage keeps people together.,Marriage is painful.,Marriage is a formal union of two people.,Marriage is temporary.,,"""Marriage is an alloy.""

a) Marriage is a formal union of two people.
b) Marriage keeps people together.
c) Marriage is temporary.
d) Marriage is painful.
",[2 4 1 3],"The speaker is addressing the question ""What is marriage?""
The speaker answers this question by comparing marriage to an alloy.
An alloy is a type of metal that is made of two different elements.
So the speaker is saying a) marriage is a formal union of two people."
9,Literary,1.0,119.0,0.0,Despair is a living tree feeding on death.,5.03,4.47,3.13,4.53,3.77,3.3,4.03,4.67,3.8,1.57,Despair is sustained by negativity.,Despair tastes bad.,Despair is the absence of hope.,Despair is sustained by positivity.,,"""Despair is a living tree feeding on death.""

a) Despair is sustained by positivity.
b) Despair tastes bad.
c) Despair is the absence of hope.
d) Despair is sustained by negativity.
",[1 3 2 4],"The speaker is addressing the question ""How does despair feel?""
The speaker answers this question by comparing despair to a living tree.
A living tree feeds on death.
So the speaker is saying b) despair tastes bad."
