,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,model_response
0,Nonliterary,1.0,69.0,0.0,A kennel is a pet hotel.,6.3,6.63,4.57,3.8,4.97,4.83,5.4,4.1,5.34,1.48,A kennel is a temporary place for pets to stay.,A kennel is a temporary place for pets to play.,A kennel is a place that will care for a pet.,A kennel is a permanent place for pets to stay.,,"""A kennel is a pet hotel.""

a) A kennel is a permanent place for pets to stay.
b) A kennel is a temporary place for pets to play.
c) A kennel is a place that will care for a pet.
d) A kennel is a temporary place for pets to stay.
",[1 3 2 4],The speaker is saying c) a kennel is a place that will care for a pet.
1,Nonliterary,1.0,78.0,0.0,A camel is an ocean liner.,4.17,3.77,2.33,3.2,2.83,3.3,3.17,2.9,2.66,1.62,A camel can carry a lot of supplies.,A camel can float.,A camel is an animal.,A camel can't carry very many supplies.,,"""A camel is an ocean liner.""

a) A camel can't carry very many supplies.
b) A camel is an animal.
c) A camel can carry a lot of supplies.
d) A camel can float.
",[1 2 4 3],The speaker is saying b) a camel is an animal.
2,Nonliterary,1.0,63.0,7.0,A tree is an old man.,4.3,4.27,2.7,3.4,3.73,3.8,4.17,4.33,2.62,1.83,A tree is old and seems kind.,A tree is old and seems happy.,A tree is a tall plant with leaves.,A tree is old and seems innocent.,,"""A tree is an old man.""

a) A tree is old and seems innocent.
b) A tree is old and seems kind.
c) A tree is old and seems happy.
d) A tree is a tall plant with leaves.
",[1 4 3 2],The speaker is saying c) a tree is old and seems happy.
3,Nonliterary,1.0,6.0,0.0,A gas station is an oasis. ,5.6,5.5,2.81,4.0,3.28,3.59,3.58,3.86,4.15,1.96,A gas station has necessary supplies.,A gas station is beautiful.,A gas station is a store.,A gas station is unwanted.,,"""A gas station is an oasis. ""

a) A gas station is unwanted.
b) A gas station is a store.
c) A gas station has necessary supplies.
d) A gas station is beautiful.
",[1 2 4 3],The speaker is saying c) a gas station has necessary supplies.
4,Nonliterary,1.0,144.0,0.0,Security is a trap.,4.68,4.31,2.73,3.8,3.27,3.33,3.1,3.47,1.97,1.67,Security is not as valuable as it seems.,Security is not as friendly as it seems.,Security is being free from danger or threat.,Security is more valuable than it seems.,,"""Security is a trap.""

a) Security is being free from danger or threat.
b) Security is not as friendly as it seems.
c) Security is not as valuable as it seems.
d) Security is more valuable than it seems.
",[2 3 4 1],"
If someone is security and they tell us everything is okay, then we might not feel as safe as we thought.
The speaker is saying c) security is not as valuable as it seems."
5,Nonliterary,1.0,240.0,0.0,Weeds are the measles of a garden.,5.89,5.93,3.17,4.77,4.59,4.77,5.14,3.48,4.77,1.71,Weeds stick out and make the garden look ugly.,Weeds stick out and make the garden look interesting.,Weeds are unwanted plants.,Weeds blend in and make the garden look beautiful.,,"""Weeds are the measles of a garden.""

a) Weeds stick out and make the garden look interesting.
b) Weeds stick out and make the garden look ugly.
c) Weeds blend in and make the garden look beautiful.
d) Weeds are unwanted plants.
",[3 4 1 2],The speaker is saying c) weeds blend in and make the garden look beautiful.
6,Nonliterary,1.0,76.0,0.0,A friend is a ray of sunshine.,6.33,6.6,3.55,5.87,5.7,5.83,5.7,5.83,5.59,2.41,A friend is rejuvinating.,A friend is kind.,A friend is a companion.,A friend is exhausting.,,"""A friend is a ray of sunshine.""

a) A friend is a companion.
b) A friend is exhausting.
c) A friend is kind.
d) A friend is rejuvinating.
",[2 1 3 4],"
a) A friend is a companion. 
b) A friend is exhausting. 
c) A friend is kind. 
d) A friend is rejuvinating."
7,Nonliterary,1.0,122.0,11.0,Artists are peacocks.,4.03,4.24,2.73,2.83,3.17,3.0,3.3,2.76,2.69,1.43,Artists are show-offs.,Artists are attractive.,Artists are creative people.,Artists are creators.,,"""Artists are peacocks.""

a) Artists are show-offs.
b) Artists are creators.
c) Artists are creative people.
d) Artists are attractive.
",[4 1 2 3],"
 Artists are peacocks because they use their creative abilities to attract attention."
8,Nonliterary,1.0,44.0,23.0,The stars are a map to a ship captain.,6.4,6.1,4.9,4.6,5.6,5.63,5.27,5.97,5.41,1.67,The stars help ship captains to navigate.,The stars help ship captains to see.,The stars are in the sky.,The stars help ship captains to lose their way.,,"""The stars are a map to a ship captain.""

a) The stars help ship captains to navigate.
b) The stars help ship captains to lose their way.
c) The stars help ship captains to see.
d) The stars are in the sky.
",[4 1 3 2],The speaker is saying c) the stars help ship captains to see.
9,Nonliterary,1.0,24.0,27.0,Time is a magnet.,4.0,4.54,2.38,3.56,2.38,2.66,2.92,2.79,2.85,1.65,People like thinking about time.,People sometimes think about time.,Time is a dimension.,People dislike thinking about time.,,"""Time is a magnet.""

a) People like thinking about time.
b) Time is a dimension.
c) People sometimes think about time.
d) People dislike thinking about time.
",[4 2 3 1],The speaker is saying c) people sometimes think about time.
